Track ID,accousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
2b9frtOfOaay2MjeYtFr0Z,0.341,0.397,339440,0.411,0.00329,0,0.112,-8.665,1,0.177,74.99,4,0.28,1
527DJI5kIuYrLp1O9pYPzk,0.9,0.383,305920,0.448,0.0565,5,0.114,-7.397,1,0.0431,135.47,4,0.27,1
1LZPELQqai6rO6JgvZtElr,0.403,0.614,197833,0.749,0,2,0.102,-3.378,1,0.138,170.186,4,0.432,2
4wL6dDN3b0pOtrgW8oExak,0.684,0.71,133758,0.197,0,9,0.473,-13.431,1,0.933,130.378,5,0.482,2
0heufLGCARpOYKH2v8IMsj,0.00012,0.489,258200,0.836,4.81E-05,11,0.182,-5.844,0,0.0599,146.041,4,0.406,2
0dDboLfmRNsTBscy4j3Rnl,0.0201,0.826,188480,0.816,0.000939,1,0.127,-4.608,0,0.0683,96.042,4,0.598,3
0j2uWSK50To20i1VG9H8mf,0.000972,0.531,254400,0.874,1.74E-05,8,0.0955,-3.538,1,0.0323,115.054,4,0.345,2
1BxE57AivsEtDQ8JWo3uXs,0.526,0.502,194386,0.653,0.0212,4,0.0953,-8.401,1,0.0272,80.614,3,0.325,2
7wHOVBc7loj3dHHQqclAYD,0.343,0.605,229616,0.476,0.00113,9,0.0965,-9.304,1,0.0469,137.964,4,0.376,1
2JEuoW7VtugjY2XtxK034T,0.271,0.308,221933,0.479,0.00257,6,0.47,-9.04,0,0.035,130.007,4,0.156,2
0Bv4YIlBJnwNpnFrRQCrrj,0.00032,0.551,297440,0.756,0.904,5,0.131,-6.376,0,0.0304,120.02,4,0.629,1
0NWJxGtQRTguSQUoA2Sx1Q,0.00218,0.613,243893,0.729,2.39E-05,9,0.0896,-3.987,1,0.031,103.979,4,0.179,1
4NAOU1fKvpPtLwtR2rUfFP,0.972,0.63,49000,0.0734,0,7,0.403,-24.448,0,0.548,135.964,3,0.831,2
5SausHYME36XU0ZEbXP1GH,0.0561,0.538,242933,0.701,1.84E-05,7,0.468,-6.03,1,0.0354,177.945,4,0.547,2
2Lzg6ouDLBBNGMjiMFDY9t,0.986,0.466,125347,0.387,0.936,2,0.65,-20.025,1,0.0326,135.942,3,0.426,1
