Track ID,accousticness,danceability,duration,energy,instrumentalness,key,energy,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
4EajANveik8BIXIzYJfz2K,0.928,0.405,214000,0.245,0,4,0.245,0.203,-8.925,0,0.0288,141.133,4,0.385,21
1zZ7vl1amOLI4GE5oUn0YB,0.737,0.707,182657,0.36,6.97e-05,0,0.36,0.0977,-8.89,0,0.0499,80.055,4,0.358,64
7gGZLxYCFutpnHJCQYVfF4,0.0179,0.47,219517,0.856,0.0278,11,0.856,0.0836,-7.455,0,0.0751,141.987,4,0.297,38
7I3rg0TekNUM1UNdSxUfG9,1.29e-05,0.411,151933,0.982,0.000675,6,0.982,0.471,-4.63,1,0.0643,97.159,4,0.173,38
0slYDB04lcoiFFLTJ16OIo,0.636,0.756,226569,0.45,5.97e-05,3,0.45,0.122,-8.688,1,0.0674,81.986,4,0.824,41
4NV0j7884hTiWkqoA99M9c,0.537,0.642,266720,0.557,0,4,0.557,0.935,-5.69,1,0.0435,120.006,4,0.367,33
7cgxSHh4UGSxutg6vIOMFs,0.44,0.349,252780,0.52,0,2,0.52,0.134,-7.292,1,0.0274,73.56,4,0.28,9
1k9an0vCRw9oJ7TZ3W8P3v,0.494,0.613,236475,0.342,0.000309,0,0.342,0.101,-8.679,1,0.0275,121.183,4,0.293,10
3EQ9QP2E7wjYQba8OSPBst,0.0557,0.678,213402,0.76,0,1,0.76,0.359,-5.546,1,0.221,96.044,4,0.24,59
6Qbhvhl7HN9Gp533HeQXn6,0.814,0.307,229800,0.32,0,6,0.32,0.11,-9.336,1,0.0334,158.387,3,0.323,10
3G7rJfgHwXp519hewotg9c,0.00127,0.469,211640,0.878,0.0166,10,0.878,0.179,-5.317,1,0.0396,191.074,4,0.691,30
3rOJ9ffoLzYCc4bo5HqXOD,0.798,0.291,229425,0.324,2.91e-06,3,0.324,0.0955,-8.879,1,0.0316,84.582,4,0.149,32
5V2s4Y1IUdJSzvTUbR3K49,0.0988,0.609,191530,0.656,0,5,0.656,0.0729,-5.955,1,0.039,89.047,4,0.42,33
0HqtTIH9Eo7IdTiiFvpdjM,0.00747,0.767,199653,0.8,0.00245,5,0.8,0.0893,-5.483,1,0.0781,138.884,4,0.771,34
2WOgnl9XFRXwVyiyH7cSDj,0.00749,0.607,357787,0.926,0,11,0.926,0.0892,-3.822,0,0.0302,122.01,4,0.64,16
7uEzEAcV7WL9osYSXWXeF5,2.77e-05,0.47,325787,0.845,0.329,6,0.845,0.0678,-5.642,1,0.0286,160.018,4,0.371,42
2Jyu57REuDziz4tQiWjb8U,0.08,0.565,231500,0.447,0,5,0.447,0.0993,-7.563,1,0.0246,95.988,4,0.278,0
7DKS0rX27cCEPsK0R6tFWS,0.61,0.56,220293,0.678,1.42e-05,10,0.678,0.111,-6.167,0,0.0581,122.585,4,0.29,73
6yz0Jndhv0QjKdpcEMbOjz,0.128,0.776,116681,0.608,0,10,0.608,0.0932,-6.478,0,0.104,156.025,4,0.402,70
0mFkb9lXyTIrhy5nPAyrs5,0.0558,0.578,221787,0.951,0.171,6,0.951,0.142,-6.105,1,0.0343,137.983,4,0.867,42
3P4gLPPOHIRQ5j6PC1hNa5,0.116,0.644,190375,0.591,3.5e-05,2,0.591,0.141,-7.218,0,0.0296,107.034,4,0.494,54
1Z3RQFrjlpxtD0vXuLRQJD,0.397,0.757,195773,0.415,0.000492,5,0.415,0.0741,-3.827,1,0.0801,78.062,4,0.606,37
0bu35Olu1UwuQUvxYa2rni,0.106,0.671,195547,0.752,3.48e-06,9,0.752,0.0606,-6.013,0,0.125,117.945,4,0.276,40
7yF0ULfXKAxBL04iMSHUxs,0.0326,0.847,169072,0.563,0,6,0.563,0.146,-7.964,0,0.422,168.095,4,0.437,50
3PLNAi5GZuHitQ6pop37Yu,8.16e-05,0.529,290373,0.897,0.144,8,0.897,0.112,-4.37,1,0.0356,159.956,4,0.475,39
00I0pcNkN3IOX3fsYbaB4N,0.0724,0.629,221893,0.608,0,2,0.608,0.0874,-7.247,0,0.0771,103.021,4,0.413,57
2BgEsaKNfHUdlh97KmvFyo,0.0372,0.697,186987,0.683,0,1,0.683,0.137,-2.881,0,0.117,96.133,4,0.603,82
3yRtCntPrFnfYgiqn1He2o,0.0888,0.807,154600,0.414,0.206,4,0.414,0.11,-8.044,0,0.482,173.889,4,0.328,43
5pEwUZibBFlW2ha2iSjXPN,0.325,0.83,228982,0.395,3.3e-06,9,0.395,0.107,-8.761,0,0.0388,99.297,4,0.305,23
32EakGEjZPjasCLjHN5ktx,0.45,0.779,172283,0.894,0,0,0.894,0.307,-4.407,0,0.118,101.992,4,0.797,36
3dMsJbpSZcBfupAa8m5C2C,0.125,0.585,225453,0.793,4.25e-05,5,0.793,0.129,-3.751,1,0.156,184.076,4,0.818,33
05FmANXxhXM043IzAaFeyq,0.274,0.676,194187,0.736,0,9,0.736,0.341,-5.266,1,0.116,120.957,4,0.933,12
4Os3C5Jw7YRgdQPq4K7bWE,5.48e-05,0.417,325563,0.975,0.00353,11,0.975,0.327,-3.402,0,0.0957,159.881,4,0.134,14
1OwMgwSJwSsfYKF1iWAciU,0.0276,0.462,278053,0.699,0.0682,4,0.699,0.0673,-5.2,0,0.0531,107.437,4,0.277,13
4fTHZnmWNaAyygnNYt3UIA,0.00352,0.296,273827,0.617,0.00155,7,0.617,0.0857,-4.53,1,0.0325,144.045,4,0.156,30
6kHFFUgDXeJhX0jcif2op1,0.0285,0.496,238533,0.682,0.00929,2,0.682,0.133,-5.379,0,0.0345,119.933,4,0.175,47
75wU86jr8iIiBVfD3kU3cU,0.18,0.789,166533,0.771,0,8,0.771,0.336,-5.191,0,0.0581,122.966,4,0.5,46
2xEvCnhZMxvvRwaF4le8UV,0.432,0.787,137356,0.639,0,1,0.639,0.142,-7.835,1,0.319,81.482,4,0.758,55
2LgspYqwlPCIFbWdacEDVG,0.167,0.568,308826,0.467,0.681,7,0.467,0.0894,-8.4,0,0.0266,125.022,4,0.336,37
