Killswitch Engage,Atonement
King Gizzard & the Lizard Wizard,Infest the Rats' Nest
Oh Sees,Face Stabber
Shura,Forevher
Sleater-Kinney,The Center Won't Hold
Young Thug,So Much Fun
Red Velvet,The ReVe Festival: Day 2
Brockhampton,Ginger
Missy Elliott,Iconology
Rapsody,Eve
Sacred Reich,Awakening
Taylor Swift,Lover
Ash Grunwald,Mojo
Astrid S,Trust Issues
Caravan Palace,Chronologic
The Futureheads,Powers
G Flip,About Us
Lana Del Rey,Norman Fucking Rockwell!
Montaigne,Complex
Natasha Bedingfield,Roll with Me
Sheryl Crow,Threads
Tarja,In the Raw
Tones and I,The Kids Are Coming
Tool,Fear Inoculum
Trisha Yearwood,Every Girl
Wage War,Pressure
Alessia Cara,This Summer
Bat for Lashes,Lost Girls
Black Star Riders,Another State of Grace
Frankie Cosmos,Close It Quietly
Ghostface Killah,Ghostface Killahs
The Highwomen,The Highwomen
Home Free,Dive Bar Saints
Iggy Pop,Free
Jax Jones,Snacks (Supersize)
Lindsey Stirling,Artemis
Mallrat,Driving Music
Melanie Martinez,K-12
Muna,Saves the World
Post Malone,Hollywood's Bleeding
Rüfüs Du Sol,Solace Remixed
Sleeping with Sirens,How It Feels to Be Lost
Pernice Brothers,Spread the Feeling
Infant Annihilator,The Battle of Yaldabaoth
Alex Cameron,Miami Memory
Belle and Sebastian,Days of the Bagnold Summer
Charli XCX,Charli
Chelsea Wolfe,Birth of Violence
Cold,The Things We Can't Stop
Emeli Sandé,Real Life
Goo Goo Dolls,Miracle Pill
Hobo Johnson,The Fall of Hobo Johnson
The Hu,The Gereg
JPEGMafia,All My Heroes Are Cornballs
Korn,The Nothing
KXM,Circle of Dolls
The Lumineers,III
Metronomy,Metronomy Forever
Microwave,Death Is a Warm Blanket
Mike Patton and Jean-Claude Vannier,Corpse Flower
Paula Cole,Revolution
Pixies,Beneath the Eyrie
Puddle of Mudd,Welcome to Galvania
Ruel,Free Time
Sam Fender,Hypersonic Missiles
Sampa the Great,The Return
Starset,Divisions
Tiger Army,Retrofuture
War of Ages,Void
Slayyyter,Slayyyter
Amaia,Pero No Pasa Nada
As I Lay Dying,Shaped by Fire
Blink-182,Nine
Brittany Howard,Jaime
Cashmere Cat,Princess Catgirl
Keane,Cause and Effect
Liam Gallagher,Why Me? Why Not.
M83,DSVII
Riley Green,Different 'Round Here
Samantha Fish,Kill or Be Kind
Tove Lo,Sunshine Kitty
Zac Brown Band,The Owl
Twice,Feel Special
Beth Hart,War in My Mind
Boy & Bear,Suck on Light
Busby Marou,The Great Divide
DaBaby,Kirk
Dove Cameron,Bloodshot / Waste
Drax Project,Drax Project
Grateful Dead,Saint of Circumstance
Hellyeah,Welcome Home
Jon Pardi,Heartache Medication
KMFDM,Paradise
IQ,Resistance
Love Fame Tragedy,"I Don't Want to Play the Victim, But I'm Really Good at It"
The New Pornographers,In the Morse Code of Brake Lights
